Speaker,Play,Sex,Lines
FIRST GENTLEMAN,KING HENRY THE EIGHTH,Male,107
GARDINER,KING HENRY THE EIGHTH,Male,91
GARTER,KING HENRY THE EIGHTH,Male,3
GENTLEMAN,KING HENRY THE EIGHTH,Male,4
GENTLEWOMAN,KING HENRY THE EIGHTH,Female,12
GRIFFITH,KING HENRY THE EIGHTH,Male,59
GUILFORD,KING HENRY THE EIGHTH,Male,10
KATHARINE,KING HENRY THE EIGHTH,Female,115
KEEPER,KING HENRY THE EIGHTH,Male,8
KING HENRY,KING HENRY THE EIGHTH,Male,459
LINCOLN,KING HENRY THE EIGHTH,Male,8
LORD CHAMBERLAIN,KING HENRY THE EIGHTH,Male,150
LORD CHANCELLOR,KING HENRY THE EIGHTH,Male,32
LOVELL,KING HENRY THE EIGHTH,Male,68
MAN,KING HENRY THE EIGHTH,Male,38
MESSENGER,KING HENRY THE EIGHTH,Male,4
NORFOLK,KING HENRY THE EIGHTH,Male,211
OLD LADY,KING HENRY THE EIGHTH,Female,68
PAGE,KING HENRY THE EIGHTH,Male,1
PATIENCE,KING HENRY THE EIGHTH,Female,6
PORTER,KING HENRY THE EIGHTH,Male,34
QUEEN KATHARINE,KING HENRY THE EIGHTH,Female,261
SANDYS,KING HENRY THE EIGHTH,Male,48
SCRIBE,KING HENRY THE EIGHTH,Male,4
SECOND and THIRD GENTLEMEN,KING HENRY THE EIGHTH,Male,1
SECOND GENTLEMAN,KING HENRY THE EIGHTH,Male,87
SECRETARY,KING HENRY THE EIGHTH,Male,2
SERGEANT,KING HENRY THE EIGHTH,Male,5
SERVANT,KING HENRY THE EIGHTH,Male,7
SPEAKER,KING HENRY THE EIGHTH,Male,46
SUFFOLK,KING HENRY THE EIGHTH,Male,93
SURREY,KING HENRY THE EIGHTH,Male,81
SURVEYOR,KING HENRY THE EIGHTH,Male,61
THIRD GENTLEMAN,KING HENRY THE EIGHTH,Male,57
VAUX,KING HENRY THE EIGHTH,Male,4
WOLSEY,KING HENRY THE EIGHTH,Male,437
ARTHUR,King John,Male,120
AUSTRIA,King John,Male,36
BASTARD,King John,Male,523
BIGOT,King John,Male,8
BLANCH,King John,Female,42
CHATILLON,King John,Male,41
CONSTANCE,King John,Female,264
ELINOR,King John,Female,55
ENGLISH HERALD,King John,Male,13
ESSEX,King John,Male,3
EXECUTIONER,King John,Male,2
FRENCH HERALD,King John,Male,12
FRENCH MESSENGER,King John,Male,6
GURNEY,King John,Male,1
HUBERT,King John,Male,204
KING JOHN,King John,Male,437
KING PHILIP,King John,Male,209
LADY FAULCONBRIDGE,King John,Female,15
LEWIS,King John,Male,137
MELUN,King John,Male,39
MESSENGER,King John,Male,22
PANDULPH,King John,Male,164
PEMBROKE,King John,Male,78
PEMBROKE and BIGOT,King John,Male,1
PETER,King John,Male,1
PRINCE HENRY,King John,Male,29
ROBERT,King John,Male,22
SALISBURY,King John,Male,159
ALL,KING RICHARD III,Male,1
ALL GHOSTS,KING RICHARD III,Male,2
ANNE,KING RICHARD III,Female,157
ARCHBISHOP,KING RICHARD III,Male,12
BISHOP OF ELY,KING RICHARD III,Male,6
BLUNT,KING RICHARD III,Male,8
BOY,KING RICHARD III,Male,19
BRAKENBURY,KING RICHARD III,Male,32
BUCKINGHAM,KING RICHARD III,Male,374
CARDINAL,KING RICHARD III,Male,9
CATESBY,KING RICHARD III,Male,58
CHILDREN,KING RICHARD III,Male,3
CHRISTOPHER,KING RICHARD III,Male,8
CLARENCE,KING RICHARD III,Male,163
DERBY,KING RICHARD III,Male,108
DORSET,KING RICHARD III,Male,15
DUCHESS,KING RICHARD III,Female,141
FIRST and SECOND MURDERER,KING RICHARD III,Male,1
FIRST CITIZEN,KING RICHARD III,Male,8
FIRST MESSENGER,KING RICHARD III,Male,5
FIRST MURDERER,KING RICHARD III,Male,65
FOURTH MESSENGER,KING RICHARD III,Male,10
GENTLEMAN,KING RICHARD III,Male,2
GHOST OF ANNE,KING RICHARD III,Female,8
GHOST OF BUCKINGHAM,KING RICHARD III,Male,10
GHOST OF CLARENCE,KING RICHARD III,Male,7
GHOST OF GREY,KING RICHARD III,Male,1
GHOST OF HASTINGS,KING RICHARD III,Male,5
GHOST OF HENRY VI,KING RICHARD III,Male,8
GHOST OF PRINCE EDWARD,KING RICHARD III,Male,6
GHOST OF RIVERS,KING RICHARD III,Male,2
GHOST OF VAUGHAN,KING RICHARD III,Male,2
GHOSTS,KING RICHARD III,Male,8
GIRL,KING RICHARD III,Female,5
GLOUCESTER,KING RICHARD III,Male,685
GREY,KING RICHARD III,Male,12
HASTINGS,KING RICHARD III,Male,140
HERBERT,KING RICHARD III,Male,1
KEEPER,KING RICHARD III,Male,8
KING EDWARD,KING RICHARD III,Male,65
KING RICHARD,KING RICHARD III,Male,466
LORD MAYOR,KING RICHARD III,Male,14
LORDS,KING RICHARD III,Male,3
LOVEL,KING RICHARD III,Male,3
MESSENGER,KING RICHARD III,Male,25
NORFOLK,KING RICHARD III,Male,10
OXFORD,KING RICHARD III,Male,2
PAGE,KING RICHARD III,Male,6
PRIEST,KING RICHARD III,Male,2
PRINCE,KING RICHARD III,Male,43
PURSUIVANT,KING RICHARD III,Male,3
QUEEN ELIZABETH,KING RICHARD III,Female,272
QUEEN ELIZABETH and DUCHESS OF YORK,KING RICHARD III,Female,1
QUEEN MARGARET,KING RICHARD III,Female,218
RATCLIFFE,KING RICHARD III,Male,32
RICHMOND,KING RICHARD III,Male,137
RIVERS,KING RICHARD III,Male,48
SCRIVENER,KING RICHARD III,Male,14
SECOND CITIZEN,KING RICHARD III,Male,13
SECOND MESSENGER,KING RICHARD III,Male,3
SECOND MURDERER,KING RICHARD III,Male,61
SHERIFF,KING RICHARD III,Male,2
SURREY,KING RICHARD III,Male,1
THIRD CITIZEN,KING RICHARD III,Male,28
THIRD MESSENGER,KING RICHARD III,Male,7
TYRREL,KING RICHARD III,Male,37
VAUGHAN,KING RICHARD III,Male,1
YORK,KING RICHARD III,Male,39
ABBOT OF WESTMINSTER,King Richard the Second,Male,10
ALL,King Richard the Second,Male,1
ANOTHER LORD,King Richard the Second,Male,6
AUMERLE,King Richard the Second,Male,85
BAGOT,King Richard the Second,Male,23
BERKELEY,King Richard the Second,Male,8
BOLINGBROKE,King Richard the Second,Male,324
BUSHY,King Richard the Second,Male,39
CAPTAIN,King Richard the Second,Male,15
CARLISLE,King Richard the Second,Male,63
DUCHESS,King Richard the Second,Female,93
DUCHESS OF GLOUCESTER,King Richard the Second,Female,58
EXTON,King Richard the Second,Male,21
FIRST HERALD,King Richard the Second,Male,6
FIRST MAN,King Richard the Second,Male,9
FITZWATER,King Richard the Second,Male,27
GARDENER,King Richard the Second,Male,52
GAUNT,King Richard the Second,Male,192
GREEN,King Richard the Second,Male,31
GROOM,King Richard the Second,Male,12
KEEPER,King Richard the Second,Male,5
KING RICHARD,King Richard the Second,Male,463
LADY,King Richard the Second,Female,3
MAN,King Richard the Second,Male,2
MARSHAL,King Richard the Second,Male,25
MOWBRAY,King Richard the Second,Male,135
NORTHUMBERLAND,King Richard the Second,Male,143
PERCY,King Richard the Second,Male,46
QUEEN,King Richard the Second,Female,115
RICHARD,King Richard the Second,Male,293
ROSS,King Richard the Second,Male,22
SALISBURY,King Richard the Second,Male,20
SCROOP,King Richard the Second,Male,37
SECOND HERALD,King Richard the Second,Male,7
SECOND LADY,King Richard the Second,Female,3
SECOND MAN,King Richard the Second,Male,1
SERVINGMAN,King Richard the Second,Male,5
SURREY,King Richard the Second,Male,10
WILLOUGHBY,King Richard the Second,Male,12
YORK,King Richard the Second,Male,286
ARMADO,Love's Labour's Lost,Male,235
ARMADO as Hector,Love's Labour's Lost,Male,4
BEROWNE,Love's Labour's Lost,Male,592
BOYET,Love's Labour's Lost,Male,227
COSTARD,Love's Labour's Lost,Male,190
COSTARD as Pompey,Love's Labour's Lost,Male,9
DULL,Love's Labour's Lost,Male,30
DUMAINE,Love's Labour's Lost,Male,89
FIRST LORD,Love's Labour's Lost,Male,3
FORESTER,Love's Labour's Lost,Male,5
HIEMS,Love's Labour's Lost,Male,18
HOLOFERNES,Love's Labour's Lost,Male,164
HOLOFERNES as Judas,Love's Labour's Lost,Male,1
HOLOFERNES as presenter,Love's Labour's Lost,Male,8
JAQUENETTA,Love's Labour's Lost,Female,18
KATHARINE,Love's Labour's Lost,Female,46
KING,Love's Labour's Lost,Male,311
LONGAVILLE,Love's Labour's Lost,Male,72
MARCADE,Love's Labour's Lost,Male,4
MARIA,Love's Labour's Lost,Female,42
MOTH,Love's Labour's Lost,Male,154
NATHANIEL,Love's Labour's Lost,Male,55
NATHANIEL as Alexander,Love's Labour's Lost,Male,4
PRINCESS OF FRANCE,Love's Labour's Lost,Female,288
ROSALINE,Love's Labour's Lost,Female,165
VER,Love's Labour's Lost,Male,18
ABHORSON,Measure for Measure,Male,21
ANGELO,Measure for Measure,Male,320
ANGELO and ESCALUS,Measure for Measure,Male,1
BARNARDINE,Measure for Measure,Male,16
BOY,Measure for Measure,Male,6
CLAUDIO,Measure for Measure,Male,113
DUKE,Measure for Measure,Male,847
ELBOW,Measure for Measure,Male,71
ESCALUS,Measure for Measure,Male,189
FIRST GENTLEMAN,Measure for Measure,Male,28
FRANCISCA,Measure for Measure,Female,9
FRIAR,Measure for Measure,Male,6
FROTH,Measure for Measure,Male,11
ISABELLA,Measure for Measure,Female,424
JULIET,Measure for Measure,Female,10
JUSTICE,Measure for Measure,Male,3
LUCIO,Measure for Measure,Male,296
MARIANA,Measure for Measure,Female,68
MESSENGER,Measure for Measure,Male,4
MISTRESS OVERDONE,Measure for Measure,Female,36
PETER,Measure for Measure,Male,36
POMPEY,Measure for Measure,Male,156
PROVOST,Measure for Measure,Male,166
SECOND GENTLEMAN,Measure for Measure,Male,11
SERVANT,Measure for Measure,Male,5
A LORD,Much Ado About Nothing,Male,1
Ant,Much Ado About Nothing,Male,55
Balth,Much Ado About Nothing,Male,42
Beat,Much Ado About Nothing,Female,279
Bene,Much Ado About Nothing,Male,430
Bora,Much Ado About Nothing,Male,123
Boy,Much Ado About Nothing,Male,2
Claud,Much Ado About Nothing,Male,282
Con,Much Ado About Nothing,Male,36
CONRADE and BORACHIO,Much Ado About Nothing,Male,1
DOGBERRY,Much Ado About Nothing,Male,176
Friar,Much Ado About Nothing,Male,82
Hero,Much Ado About Nothing,Female,132
John,Much Ado About Nothing,Male,109
Leo,Much Ado About Nothing,Male,344
Marg,Much Ado About Nothing,Female,68
Mess,Much Ado About Nothing,Male,32
Pedro,Much Ado About Nothing,Male,323
SECOND WATCHMAN,Much Ado About Nothing,Male,20
Sex,Much Ado About Nothing,Male,15
Urs,Much Ado About Nothing,Female,47
Verg,Much Ado About Nothing,Male,28
Watchmen,Much Ado About Nothing,Male,21
ABBESS,THE COMEDY OF ERRORS,Female,73
ADRIANA,THE COMEDY OF ERRORS,Female,263
AEGEON,THE COMEDY OF ERRORS,Male,143
ANGELO,THE COMEDY OF ERRORS,Male,77
ANTIPHOLUS OF EPHESUS,THE COMEDY OF ERRORS,Male,212
ANTIPHOLUS OF SYRACUSE,THE COMEDY OF ERRORS,Male,291
BALTHASAR,THE COMEDY OF ERRORS,Male,26
COURTESAN,THE COMEDY OF ERRORS,Female,35
DROMIO OF EPHESUS,THE COMEDY OF ERRORS,Male,154
DROMIO OF SYRACUSE,THE COMEDY OF ERRORS,Male,244
DUKE,THE COMEDY OF ERRORS,Male,91
FIRST MERCHANT,THE COMEDY OF ERRORS,Male,15
GAOLER,THE COMEDY OF ERRORS,Male,1
LUCE,THE COMEDY OF ERRORS,Female,8
LUCIANA,THE COMEDY OF ERRORS,Female,96
MESSENGER,THE COMEDY OF ERRORS,Male,15
OFFICER,THE COMEDY OF ERRORS,Male,14
PINCH,THE COMEDY OF ERRORS,Male,12
SECOND MERCHANT,THE COMEDY OF ERRORS,Male,34
ALEN_ON,The First Part of Henry the Sixth,Male,49
ALL,The First Part of Henry the Sixth,Male,1
BASSET,The First Part of Henry the Sixth,Male,25
BASTARD,The First Part of Henry the Sixth,Male,29
BEDFORD,The First Part of Henry the Sixth,Male,76
BOY,The First Part of Henry the Sixth,Male,4
BURGUNDY,The First Part of Henry the Sixth,Male,43
CAPTAIN,The First Part of Henry the Sixth,Male,6
CHARLES,The First Part of Henry the Sixth,Male,135
COUNTESS,The First Part of Henry the Sixth,Female,45
EXETER,The First Part of Henry the Sixth,Male,59
FASTOLFE,The First Part of Henry the Sixth,Male,8
FIRST MESSENGER,The First Part of Henry the Sixth,Male,18
FIRST SENTINEL,The First Part of Henry the Sixth,Male,1
FIRST SERVINGMAN,The First Part of Henry the Sixth,Male,7
FIRST SOLDIER,The First Part of Henry the Sixth,Male,3
FIRST WARDER,The First Part of Henry the Sixth,Male,3
GAOLER,The First Part of Henry the Sixth,Male,4
GARGRAVE,The First Part of Henry the Sixth,Male,2
GENERAL OF THE FRENCH,The First Part of Henry the Sixth,Male,27
GLANSDALE,The First Part of Henry the Sixth,Male,1
GLOUCESTER,The First Part of Henry the Sixth,Male,183
JOHN,The First Part of Henry the Sixth,Male,47
KING HENRY,The First Part of Henry the Sixth,Male,179
LAWYER,The First Part of Henry the Sixth,Male,4
LEGATE,The First Part of Henry the Sixth,Male,1
LUCY,The First Part of Henry the Sixth,Male,77
MARGARET,The First Part of Henry the Sixth,Female,33
MASTER GUNNER,The First Part of Henry the Sixth,Male,18
MAYOR,The First Part of Henry the Sixth,Male,21
MESSENGER,The First Part of Henry the Sixth,Male,24
MORTIMER,The First Part of Henry the Sixth,Male,88
OFFICER,The First Part of Henry the Sixth,Male,6
PLANTAGENET,The First Part of Henry the Sixth,Male,184
PORTER,The First Part of Henry the Sixth,Male,1
PUCELLE,The First Part of Henry the Sixth,Female,254
REIGNIER,The First Part of Henry the Sixth,Male,59
SALISBURY,The First Part of Henry the Sixth,Male,15
SCOUT,The First Part of Henry the Sixth,Male,5
SECOND MESSENGER,The First Part of Henry the Sixth,Male,7
SECOND SERVINGMAN,The First Part of Henry the Sixth,Male,2
SECOND WARDER,The First Part of Henry the Sixth,Male,1
SERGEANT,The First Part of Henry the Sixth,Male,4
SERVANT,The First Part of Henry the Sixth,Male,1
SERVINGMEN,The First Part of Henry the Sixth,Male,2
SHEPHERD,The First Part of Henry the Sixth,Male,24
SOLDIER,The First Part of Henry the Sixth,Male,4
SOMERSET,The First Part of Henry the Sixth,Male,64
SUFFOLK,The First Part of Henry the Sixth,Male,174
TALBOT,The First Part of Henry the Sixth,Male,406
THIRD MESSENGER,The First Part of Henry the Sixth,Male,45
THIRD SERVINGMAN,The First Part of Henry the Sixth,Male,10
VERNON,The First Part of Henry the Sixth,Male,29
WARWICK,The First Part of Henry the Sixth,Male,72
WATCH,The First Part of Henry the Sixth,Male,2
WINCHESTER,The First Part of Henry the Sixth,Male,96
WOODVILLE,The First Part of Henry the Sixth,Male,5
YORK,The First Part of Henry the Sixth,Male,102
Arch,The First Part of King Henry the Fourth,Male,34
Bard,The First Part of King Henry the Fourth,Male,29
Blunt,The First Part of King Henry the Fourth,Male,41
Cham,The First Part of King Henry the Fourth,Male,19
Doug,The First Part of King Henry the Fourth,Male,45
Fal,The First Part of King Henry the Fourth,Male,602
FIRST CARRIER,The First Part of King Henry the Fourth,Male,23
FIRST MESSENGER,The First Part of King Henry the Fourth,Male,1
FIRST TRAVELLER,The First Part of King Henry the Fourth,Male,5
Fran,The First Part of King Henry the Fourth,Male,16
Gads,The First Part of King Henry the Fourth,Male,45
Glend,The First Part of King Henry the Fourth,Male,77
Host,The First Part of King Henry the Fourth,Female,49
Hot,The First Part of King Henry the Fourth,Male,559
King,The First Part of King Henry the Fourth,Male,339
Lady,The First Part of King Henry the Fourth,Female,57
LANCASTER,The First Part of King Henry the Fourth,Male,8
Mess,The First Part of King Henry the Fourth,Male,6
Mortimer,The First Part of King Henry the Fourth,Male,60
North,The First Part of King Henry the Fourth,Male,26
Ost,The First Part of King Henry the Fourth,Male,1
Peto,The First Part of King Henry the Fourth,Male,15
Poins,The First Part of King Henry the Fourth,Male,79
Prince,The First Part of King Henry the Fourth,Male,572
SECOND CARRIER,The First Part of King Henry the Fourth,Male,18
SECOND MESSENGER,The First Part of King Henry the Fourth,Male,1
SECOND TRAVELLER,The First Part of King Henry the Fourth,Male,1
Serv,The First Part of King Henry the Fourth,Male,3
Sher,The First Part of King Henry the Fourth,Male,8
SIR MICHAEL,The First Part of King Henry the Fourth,Male,8
Thieves,The First Part of King Henry the Fourth,Male,1
Ver,The First Part of King Henry the Fourth,Male,66
Vint,The First Part of King Henry the Fourth,Male,4
West,The First Part of King Henry the Fourth,Male,42
Wor,The First Part of King Henry the Fourth,Male,189
ACHILLES,THE HISTORY OF TROILUS AND CRESSIDA,Male,191
AENEAS,THE HISTORY OF TROILUS AND CRESSIDA,Male,143
AGAMEMNON,THE HISTORY OF TROILUS AND CRESSIDA,Male,195
AJAX,THE HISTORY OF TROILUS AND CRESSIDA,Male,86
ALEXANDER,THE HISTORY OF TROILUS AND CRESSIDA,Male,34
ALL,THE HISTORY OF TROILUS AND CRESSIDA,Male,2
ANDROMACHE,THE HISTORY OF TROILUS AND CRESSIDA,Female,15
BOY,THE HISTORY OF TROILUS AND CRESSIDA,Male,2
CALCHAS,THE HISTORY OF TROILUS AND CRESSIDA,Male,31
CASSANDRA,THE HISTORY OF TROILUS AND CRESSIDA,Female,37
CRESSIDA,THE HISTORY OF TROILUS AND CRESSIDA,Female,301
DEIPHOBUS,THE HISTORY OF TROILUS AND CRESSIDA,Male,2
DIOMEDES,THE HISTORY OF TROILUS AND CRESSIDA,Male,104
HECTOR,THE HISTORY OF TROILUS AND CRESSIDA,Male,213
HELEN,THE HISTORY OF TROILUS AND CRESSIDA,Female,28
HELENUS,THE HISTORY OF TROILUS AND CRESSIDA,Female,4
MAN,THE HISTORY OF TROILUS AND CRESSIDA,Male,1
MARGARELON,THE HISTORY OF TROILUS AND CRESSIDA,Male,3
MENELAUS,THE HISTORY OF TROILUS AND CRESSIDA,Male,13
MYRMIDON,THE HISTORY OF TROILUS AND CRESSIDA,Male,1
NESTOR,THE HISTORY OF TROILUS AND CRESSIDA,Male,157
PANDARUS,THE HISTORY OF TROILUS AND CRESSIDA,Male,414
PARIS,THE HISTORY OF TROILUS AND CRESSIDA,Male,97
PATROCLUS,THE HISTORY OF TROILUS AND CRESSIDA,Male,69
PRIAM,THE HISTORY OF TROILUS AND CRESSIDA,Male,20
PROLOGUE,THE HISTORY OF TROILUS AND CRESSIDA,Male,31
SERVANT,THE HISTORY OF TROILUS AND CRESSIDA,Male,20
SOLDIERS,THE HISTORY OF TROILUS AND CRESSIDA,Male,2
THERSITES,THE HISTORY OF TROILUS AND CRESSIDA,Male,283
TROILUS,THE HISTORY OF TROILUS AND CRESSIDA,Male,537
ULYSSES,THE HISTORY OF TROILUS AND CRESSIDA,Male,485
ALICE,The Life of King Henry the Fifth,Female,28
ALL,The Life of King Henry the Fifth,Male,1
AMBASSADOR,The Life of King Henry the Fifth,Male,17
BARDOLPH,The Life of King Henry the Fifth,Male,32
BATES,The Life of King Henry the Fifth,Male,18
BEDFORD,The Life of King Henry the Fifth,Male,7
BOURBON,The Life of King Henry the Fifth,Male,9
BOY,The Life of King Henry the Fifth,Male,69
BRITAINE,The Life of King Henry the Fifth,Male,9
BURGUNDY,The Life of King Henry the Fifth,Male,67
CAMBRIDGE,The Life of King Henry the Fifth,Male,15
CANTERBURY,The Life of King Henry the Fifth,Male,224
CHORUS,The Life of King Henry the Fifth,Male,223
CONSTABLE,The Life of King Henry the Fifth,Male,123
COURT,The Life of King Henry the Fifth,Male,2
DAUPHIN,The Life of King Henry the Fifth,Male,115
ELY,The Life of King Henry the Fifth,Male,27
ERPINGHAM,The Life of King Henry the Fifth,Male,7
EXETER,The Life of King Henry the Fifth,Male,129
FLUELLEN,The Life of King Henry the Fifth,Male,278
FRENCH KING,The Life of King Henry the Fifth,Male,94
FRENCH SOLDIER,The Life of King Henry the Fifth,Male,18
GLOUCESTER,The Life of King Henry the Fifth,Male,5
GOVERNOR,The Life of King Henry the Fifth,Male,7
GOWER,The Life of King Henry the Fifth,Male,64
GRANDPR—,The Life of King Henry the Fifth,Male,18
GREY,The Life of King Henry the Fifth,Male,12
GREY and SCROOP,The Life of King Henry the Fifth,Male,1
HERALD,The Life of King Henry the Fifth,Male,1
HOSTESS,The Life of King Henry the Fifth,Female,42
JAMY,The Life of King Henry the Fifth,Male,11
KATHERINE,The Life of King Henry the Fifth,Female,61
KING HENRY,The Life of King Henry the Fifth,Male,1031
LORDS,The Life of King Henry the Fifth,Male,1
MACMORRIS,The Life of King Henry the Fifth,Male,19
MESSENGER,The Life of King Henry the Fifth,Male,6
MONTJOY,The Life of King Henry the Fifth,Male,52
NYM,The Life of King Henry the Fifth,Male,44
ORLEANS,The Life of King Henry the Fifth,Male,45
PISTOL,The Life of King Henry the Fifth,Male,162
QUEEN ISABEL,The Life of King Henry the Fifth,Female,24
RAMBURES,The Life of King Henry the Fifth,Male,9
SALISBURY,The Life of King Henry the Fifth,Male,9
SCROOP,The Life of King Henry the Fifth,Male,12
